Step = 73; E = -379.1719187; F_norm = 11.80860872
Step = 74; E = -379.1765784; F_norm = 11.80482095
Step = 75; E = -379.1812361; F_norm = 11.80103759
Step = 76; E = -379.1858919; F_norm = 11.79725863
Step = 77; E = -379.1905456; F_norm = 11.79348409
Step = 78; E = -379.1951974; F_norm = 11.78971396
Step = 79; E = -379.1998472; F_norm = 11.78594823
Step = 80; E = -379.2044951; F_norm = 11.78218692
Step = 81; E = -379.2091409; F_norm = 11.77843002
Step = 82; E = -379.2137848; F_norm = 11.77467754
Step = 83; E = -379.2184267; F_norm = 11.77092946
Step = 84; E = -379.2230667; F_norm = 11.7671858
Step = 85; E = -379.2277047; F_norm = 11.76344655
Step = 86; E = -379.2323407; F_norm = 11.75971172
Step = 87; E = -379.2369748; F_norm = 11.7559813
Step = 88; E = -379.2416069; F_norm = 11.75225529
Step = 89; E = -379.246237; F_norm = 11.74853371
Step = 90; E = -379.2508652; F_norm = 11.74481654
Step = 91; E = -379.2554914; F_norm = 11.74110379
Step = 92; E = -379.2601157; F_norm = 11.73739545
Step = 93; E = -379.264738; F_norm = 11.73369153
Step = 94; E = -379.2693584; F_norm = 11.72999204
Step = 95; E = -379.2739768; F_norm = 11.72629696
Step = 96; E = -379.2785933; F_norm = 11.72260631
Step = 97; E = -379.2832078; F_norm = 11.71892007
Step = 98; E = -379.2878204; F_norm = 11.71523826
Step = 99; E = -379.292431; F_norm = 11.71156087
Step = 100; E = -379.2970397; F_norm = 11.7078879
Step = 101; E = -379.3016465; F_norm = 11.70421936
Step = 102; E = -379.3062513; F_norm = 11.70055524
Step = 103; E = -379.3108541; F_norm = 11.69689555
Step = 104; E = -379.3154551; F_norm = 11.69324028
Step = 105; E = -379.3200541; F_norm = 11.68958944
Step = 106; E = -379.3246512; F_norm = 11.68594302
Step = 107; E = -379.3292463; F_norm = 11.68230104
Step = 108; E = -379.3338395; F_norm = 11.67866348
Step = 109; E = -379.3384308; F_norm = 11.67503035
Step = 110; E = -379.3430202; F_norm = 11.67140166
Step = 111; E = -379.3476076; F_norm = 11.66777739
Step = 112; E = -379.3521931; F_norm = 11.66415756
Step = 113; E = -379.3567767; F_norm = 11.66054215
Step = 114; E = -379.3613584; F_norm = 11.65693119
Step = 115; E = -379.3659381; F_norm = 11.65332465
Step = 116; E = -379.370516; F_norm = 11.64972255
Step = 117; E = -379.3750919; F_norm = 11.64612488
Step = 118; E = -379.3796659; F_norm = 11.64253165
Step = 119; E = -379.384238; F_norm = 11.63894286
Step = 120; E = -379.3888082; F_norm = 11.63535851
Step = 121; E = -379.3933765; F_norm = 11.63177859
Step = 122; E = -379.3979429; F_norm = 11.62820311
Step = 123; E = -379.4025073; F_norm = 11.62463208
Step = 124; E = -379.4070699; F_norm = 11.62106548
Step = 125; E = -379.4116305; F_norm = 11.61750332
Step = 126; E = -379.4161893; F_norm = 11.61394561
Step = 127; E = -379.4207462; F_norm = 11.61039234
Step = 128; E = -379.4253011; F_norm = 11.60684352
Step = 129; E = -379.4298542; F_norm = 11.60329914
Step = 130; E = -379.4344054; F_norm = 11.5997592
Step = 131; E = -379.4389546; F_norm = 11.59622371
Step = 132; E = -379.443502; F_norm = 11.59269267
Step = 133; E = -379.4480475; F_norm = 11.58916608
Step = 134; E = -379.4525911; F_norm = 11.58564394
Step = 135; E = -379.4571328; F_norm = 11.58212624
Step = 136; E = -379.4616727; F_norm = 11.578613
Step = 137; E = -379.4662106; F_norm = 11.57510421
Step = 138; E = -379.4707467; F_norm = 11.57159987
Step = 139; E = -379.4752809; F_norm = 11.56809998
Step = 140; E = -379.4798132; F_norm = 11.56460455
Step = 141; E = -379.4843436; F_norm = 11.56111357
Step = 142; E = -379.4888722; F_norm = 11.55762705
Step = 143; E = -379.4933989; F_norm = 11.55414499
Step = 144; E = -379.4979237; F_norm = 11.55066738
Step = 145; E = -379.5024466; F_norm = 11.54719424
Step = 146; E = -379.5069677; F_norm = 11.54372555
Step = 147; E = -379.5114869; F_norm = 11.54026132
Step = 148; E = -379.5160042; F_norm = 11.53680156
Step = 149; E = -379.5205197; F_norm = 11.53334626
Step = 150; E = -379.5250333; F_norm = 11.52989542
Step = 151; E = -379.5295451; F_norm = 11.52644904
Step = 152; E = -379.5340549; F_norm = 11.52300713
Step = 153; E = -379.538563; F_norm = 11.51956969
Step = 154; E = -379.5430691; F_norm = 11.51613671
Step = 155; E = -379.5475735; F_norm = 11.5127082
Step = 156; E = -379.5520759; F_norm = 11.50928416
Step = 157; E = -379.5565765; F_norm = 11.50586459
Step = 158; E = -379.5610753; F_norm = 11.5024495
Step = 159; E = -379.5655722; F_norm = 11.49903887
Step = 160; E = -379.5700672; F_norm = 11.49563272
Step = 161; E = -379.5745604; F_norm = 11.49223104
Step = 162; E = -379.5790518; F_norm = 11.48883384
Step = 163; E = -379.5835413; F_norm = 11.48544111
Step = 164; E = -379.588029; F_norm = 11.48205286
Step = 165; E = -379.5925149; F_norm = 11.47866909
Step = 166; E = -379.5969989; F_norm = 11.47528979
Step = 167; E = -379.601481; F_norm = 11.47191498
Step = 168; E = -379.6059613; F_norm = 11.46854465
Step = 169; E = -379.6104398; F_norm = 11.4651788
Step = 170; E = -379.6149165; F_norm = 11.46181743
Step = 171; E = -379.6193913; F_norm = 11.45846055
Step = 172; E = -379.6238643; F_norm = 11.45510816
Step = 173; E = -379.6283355; F_norm = 11.45176025
Step = 174; E = -379.6328048; F_norm = 11.44841682
Step = 175; E = -379.6372724; F_norm = 11.44507789
Step = 176; E = -379.6417381; F_norm = 11.44174345
Step = 177; E = -379.6462019; F_norm = 11.4384135
Step = 178; E = -379.650664; F_norm = 11.43508803
Step = 179; E = -379.6551242; F_norm = 11.43176707
Step = 180; E = -379.6595827; F_norm = 11.42845059
Step = 181; E = -379.6640393; F_norm = 11.42513862
Step = 182; E = -379.668494; F_norm = 11.42183113
Step = 183; E = -379.672947; F_norm = 11.41852815
Step = 184; E = -379.6773982; F_norm = 11.41522966
Step = 185; E = -379.6818475; F_norm = 11.41193568
Step = 186; E = -379.6862951; F_norm = 11.40864619
Step = 187; E = -379.6907408; F_norm = 11.40536121
Step = 188; E = -379.6951848; F_norm = 11.40208073
Step = 189; E = -379.6996269; F_norm = 11.39880476
Step = 190; E = -379.7040672; F_norm = 11.39553329
Step = 191; E = -379.7085057; F_norm = 11.39226632
Step = 192; E = -379.7129425; F_norm = 11.38900387
Step = 193; E = -379.7173774; F_norm = 11.38574592
Step = 194; E = -379.7218105; F_norm = 11.38249249
Step = 195; E = -379.7262419; F_norm = 11.37924356
Step = 196; E = -379.7306714; F_norm = 11.37599915
Step = 197; E = -379.7350992; F_norm = 11.37275926
Step = 198; E = -379.7395251; F_norm = 11.36952387
Step = 199; E = -379.7439493; F_norm = 11.36629301
Step = 200; E = -379.7483717; F_norm = 11.36306666
Step = 201; E = -379.7527923; F_norm = 11.35984483
Step = 202; E = -379.7572111; F_norm = 11.35662752
Step = 203; E = -379.7616282; F_norm = 11.35341473
Step = 204; E = -379.7660434; F_norm = 11.35020647
Step = 205; E = -379.7704569; F_norm = 11.34700273
Step = 206; E = -379.7748686; F_norm = 11.34380351
Step = 207; E = -379.7792785; F_norm = 11.34060882
Step = 208; E = -379.7836867; F_norm = 11.33741865
Step = 209; E = -379.788093; F_norm = 11.33423302
Step = 210; E = -379.7924976; F_norm = 11.33105192
Step = 211; E = -379.7969005; F_norm = 11.32787534
Step = 212; E = -379.8013015; F_norm = 11.3247033
Step = 213; E = -379.8057008; F_norm = 11.3215358
Step = 214; E = -379.8100984; F_norm = 11.31837283
Step = 215; E = -379.8144941; F_norm = 11.31521439
Step = 216; E = -379.8188881; F_norm = 11.3120605
Step = 217; E = -379.8232804; F_norm = 11.30891114
Step = 218; E = -379.8276709; F_norm = 11.30576632
Step = 219; E = -379.8320596; F_norm = 11.30262605
Step = 220; E = -379.8364465; F_norm = 11.29949032
Step = 221; E = -379.8408317; F_norm = 11.29635913
Step = 222; E = -379.8452152; F_norm = 11.29323249
Step = 223; E = -379.8495969; F_norm = 11.2901104
Step = 224; E = -379.8539769; F_norm = 11.28699285
Step = 225; E = -379.8583551; F_norm = 11.28387986
Step = 226; E = -379.8627315; F_norm = 11.28077141
Step = 227; E = -379.8671062; F_norm = 11.27766752
Step = 228; E = -379.8714792; F_norm = 11.27456819
Step = 229; E = -379.8758504; F_norm = 11.27147341
Step = 230; E = -379.8802199; F_norm = 11.26838318
Step = 231; E = -379.8845876; F_norm = 11.26529752
Step = 232; E = -379.8889536; F_norm = 11.26221641
Step = 233; E = -379.8933179; F_norm = 11.25913987
Step = 234; E = -379.8976804; F_norm = 11.25606789
Step = 235; E = -379.9020412; F_norm = 11.25300047
Step = 236; E = -379.9064002; F_norm = 11.24993762
Step = 237; E = -379.9107575; F_norm = 11.24687933
Step = 238; E = -379.9151131; F_norm = 11.24382562
Step = 239; E = -379.919467; F_norm = 11.24077647
Step = 240; E = -379.9238191; F_norm = 11.23773189
Step = 241; E = -379.9281695; F_norm = 11.23469189
Step = 242; E = -379.9325182; F_norm = 11.23165646
Step = 243; E = -379.9368652; F_norm = 11.22862561
Step = 244; E = -379.9412104; F_norm = 11.22559933
Step = 245; E = -379.945554; F_norm = 11.22257764
Step = 246; E = -379.9498958; F_norm = 11.21956052
Step = 247; E = -379.9542358; F_norm = 11.21654798
Step = 248; E = -379.9585742; F_norm = 11.21354003
Step = 249; E = -379.9629109; F_norm = 11.21053666
Step = 250; E = -379.9672458; F_norm = 11.20753788
Step = 251; E = -379.971579; F_norm = 11.20454369
Step = 252; E = -379.9759106; F_norm = 11.20155409
Step = 253; E = -379.9802404; F_norm = 11.19856907
Step = 254; E = -379.9845685; F_norm = 11.19558865
Step = 255; E = -379.9888949; F_norm = 11.19261282
Step = 256; E = -379.9932196; F_norm = 11.18964159
Step = 257; E = -379.9975426; F_norm = 11.18667496
Step = 258; E = -380.0018639; F_norm = 11.18371292
Step = 259; E = -380.0061835; F_norm = 11.18075549
Step = 260; E = -380.0105014; F_norm = 11.17780265
Step = 261; E = -380.0148176; F_norm = 11.17485442
Step = 262; E = -380.0191321; F_norm = 11.17191079
Step = 263; E = -380.0234449; F_norm = 11.16897177
Step = 264; E = -380.027756; F_norm = 11.16603736
Step = 265; E = -380.0320655; F_norm = 11.16310756
Step = 266; E = -380.0363732; F_norm = 11.16018237
